"procedure_description"
"FALLOPIAN TUBE, BLOCKED TUBES, TUBAL REANASTOMOSIS, MIS (SI701F)"
"EYE, VARIOUS LESIONS, EVISCERATION"
"LAPAROSCOPY, THERAPEUTIC, EXCEPT FOR RETRIEVAL AND PLACEMENT OF GAMETES AND PLACEMENT OF EMBRYOS (SI"
"CLAVICLE, CLAVICLE FRACTURE, COMMINUTED PLATING WITH OR WITHOUT BONE GRAFTING (SB701C)"
"BLADDER, TUMOR, ANTERIOR EXENTERATION (FEMALE)"
"Nose, Various Lesions, Septoplasty/Submucous Resection (SM724N)"
"UTERUS, PERFORATION, REPAIR (SI831U)"
"SKIN, VARIOUS LESIONS OF FACE (4 AND ABOVE), EXCISION BIOPSY"
"NO SURGERY PERFORMED (S00000) (99)"
"Joints (Upper Limb), Deformities/Contracture, Corrective Surgery (SB826J)"
"MOUTH, SMALL SOFT TISSUE TUMOR, EXCISION BIOPSY < 3CM"
"UTERUS, CONTRACEPTION, INTRAUTERINE CONTRACEPTIVE DEVICE INSERTION"
"BLADDER, RETENTION OF URINE, SUPRAPUBIC CYSTOSTOMY"
"MUSCLE (LOWER LIMB), VARIOUS LESIONS, WIDE EXCISION"
"LARYNX, LARYNGECTOMY WITH BILATERAL NECK DISSECTION"
"KNEE LIGAMENTS, DISRUPTION, RECONSTRUCTION AND REPAIR"
"Tongue, Various Lesions, Partial Excision (SF809T)"
"SPINE, VARIOUS LESIONS, REVISION SPINAL INSTRUMENTATION, SINGLE LEVEL (SB744S)"
"ORBIT, VARIOUS LESIONS, DECOMPRESSION (BILATERAL)"
"COLONOSCOPY, FIBREOPTIC - WITH/WITHOUT BIOPSY"
"Bladder/Ureter, Cystoscopy, with Ureteric Catheterisation (SG716B)"
"BREAST, LUMPS (MULTIPLE/BILATERAL), EXCISION BIOPSY (SA813B)"
"Lung, Various Lesions, Pneumonectomy/Lobectomy/Segmental Resection, Open (SC800L)"
"JOINTS (UPPER LIMB), RUSH RODS/WIRES/SCREWS, REMOVAL (SB830J)"
"BONE (LOWER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION (< 6CM) WITH RECONSTRUCTION AND BONE GRAFTING"
"NOSE, VARIOUS LESIONS, RHINOPLASTY (CORRECTION OF BONY VAULT ONLY)"
"LOWER LIMB, FRACTURES, OPEN REDUCTION AND FIXATION WITH REPAIR OF ARTERIAL INJURIES"
"EXAMINATION UNDER ANAESTHESIA (GENERAL OR REGIONAL) WITHOUT OTHER SURGICAL PROCEDURES (SK759E)"
"BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL/BILATERAL) (SA705B)"
"SKULL, FRACTURE WITH RHINORRHOEA/OTORRHOEA, CRANIOPLASTY AND REPAIR (SK807S)"
"URETER, CALCULUS, ULTRASOUND LITHOTRIPSY (SG702UR)"
"SKIN AND SUBCUTANEOUS TISSUE, HEMATOMA, ABSCESS/CELLULITIS/SIMILAR LESION<3CM, SAUCERISATION/INCISIO"
"ANUS, STRICTURE, REPAIR"
"THYROID, VARIOUS LESIONS, TOTAL/SUBTOTAL THYROIDECTOMY WITH BLOCK DISSECTION (BILATERAL)"
"Vein, Various Lesions, Insertion of Central Venous Line (SD811V)"
"Elbow, Coronoid Fracture, orif (SB702E)"
"SPLEEN, VARIOUS NON-TRAUMATIC LESIONS, SPLENECTOMY (LAPAROSCOPIC OR OPEN)"
"SPINE, PROLAPSED DISC, NUCLEAR MANIPULATIONS"
"URETER, VARIOUS LESIONS, REDUCTION URETEROPLASTY"
"EAR, TYMPANIC MEMBRANE, BILATERAL MYRINGOTOMY WITH TUBE (SM708E)"
"SKIN AND SUBCUTANEOUS TISSUE, NEUROFIBROMATOSIS OF FACE AND NECK, EXCISION (MODERATE) (SA847S)"
"LOWER LIMB, PERCUTANEOUS TENOTOMY AND CAST APPLICATION, ADDUCTOR TENOTOMY"
"NOSE, VARIOUS LESIONS, RHINOPLASTY (TOTAL) INCLUDING CORRECTION OF ALL BONY AND CARTILAGINOUS ELEMEN"
"Penis, Various Lesions, Excision"
"COLON, VARIOUS LESIONS, RIGHT/LEFT HEMICOLECTOMY (LAPAROSCOPIC OR OPEN)"
"Spine, Various Lesions, Decompression Laminectomy, Single Level  (1 or 2 Roots) (SB816S)"
"LYMPHATICS, LYMPHEDEMA, MAJOR EXCISION & GRAFTING"
"URETER, URETEROSCOPY AND LITHOTRIPSY"
"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, TRANSOBTURATOR MESH + TRANSSACROSPINOUS LIGAMENT MESH"
"LYMPH NODE (CERVICAL), VARIOUS LESIONS, NECK DISSECTION UNILATERAL 1-3 LEVELS (SE803L)"
"HUMERUS, HUMERUS SHAFT FRACTURE, COMPLEX MULTI-FRAGMENTARY INTRAMEDULLARY NAIL"
"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED"
"Ear (Middle), Various Lesions, Stapedectomy (SM803E)"
"SPINE, CHRONIC PAIN/STIFFNESS, MANIPULATION"
"TENDON-FLEXOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE) (SB819T)"
"MOUTH, VARIOUS LESIONS, PHARYNGOTOMY (LATERAL) WITH EXCISION OF TONGUE"
"STOMACH, VARIOUS LESIONS, PARTIAL/SUBTOTAL GASTRECTOMY (SF810S)"
"ARTERY, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAM USING MICROCATHETER, WITH OR WITHOUT INTRAVASCULAR IMA"
"Gallbladder (Acute/Complicated) Open or Laparascopic Cholecyestectomy (SF706G)"
"EAR, VARIOUS LESIONS, MYRINGOPLASTY (SIMPLE) (SM830E)"
"KNEE LIGAMENTS, DISRUPTION, RECONSTRUCTION AND REPAIR (SB800K)"
"BLOOD VESSELS, PORTACATH, REMOVAL"
"LIVER, ABSCESS, TRANS-ABDOMINAL DRAINAGE (OPEN OR LAP) (SF804L)"
"Bone (Lower Limb), Tumor (Benign), >3 Cm with Bone Grafting +/- Reconstruction/Internal Fixation (SB"
"BRONCHIAL THERMOPLASTY"
"LIVER, TRAUMA/TUMOR, EXTENDED LOBECTOMY (5 SEGMENTS/MORE) (SF809L)"
"Prostate Gland, Various Lesions, Transurethral Resection of Prostate (TURP) (less than 30 gm) (SG700"
"BONE (UPPER LIMB), PLATES AND SCREWS, REMOVAL"
"KNEE, MENISCUS/CARTILAGE, MIS ASSISTED ALLOGRAFT MENISCAL TRANSPLANTATION (SB713K)"
"LIVER, VARIOUS LESIONS, LOBECTOMY (3-4 SEGMENTS)"
"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, EXTENSIVE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA"
"UTERUS, GRAVID, EVACUATION (SIMPLE) (SI820U)"
"BONE, VARIOUS LESIONS, OPEN BIOPSY, CEMENTING/PLATE FIXATION (SB709B)"
"ESOPHAGUS, BENIGN TUMOUR, RESECTION (LAPAROSCOPIC/OPEN)"
"HIP, VARIOUS LESIONS, ARTHROTOMY"
"EAR, EUSTACHIAN TUBE, VARIOUS LESIONS, CATHETERISATION/INFLATION"
"LYMPHATICS, LYMPHANGIECTASIS, LIMITED EXCISION"
"Ear, Bilateral Preauricular Sinus Excision  (SM706E)"
"ARTERIOVENOUS FISTULA, SYNTHETIC GRAFT (SD709A)"
"UTERUS, ELONGATED CERVIX, CYSTOCOELE, RECTOCOELE, AMPUTATION OF CERVIX + ANTERIOR REPAIR + POSTERIOR"
"Teeth (2 To 3), Impacted, Excision with Removal of Bone and Tooth Division (SF800T)"
"PENIS, TUMOR, AMPUTATION (TOTAL)"
"Muscle (Lower Limb), Various Lesions, Wide Excision (SB846M)"
"RECTUM, ULTRA-LOW ANTERIOR RESECTION (TOTAL MESORECTAL EXCISION) WITH/WITHOUT PLND (SF703R)"
"Foot, One Bone Osteotomy with Soft Tissue Release, Dwyer's (Calcaneal) (SB726F)"
"ESOPHAGUS, BENIGN TUMOUR, RESECTION (MIS/OPEN) (SF802E)"
"LYMPH NODE (PELVIC) DISSECTION, LAPAROSCOPIC/OPEN"
"COLON, VARIOUS LESIONS, TOTAL PROCTO-COLECTOMY AND ILEOSTOMY"
"KIDNEY TRANSPLANT, RECIPIENT (SG708K)"
"HEART, CONGENITAL HEART DISEASE, OPEN HEART SURGERY (SD806H)"
"BRAIN, HYDROCEPHALUS AND OTHER LESIONS, VENTRICULOATRIAL/VENTRICULOPERITONEAL SHUNT, BILATERAL (SK70"
"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (SINGLE)"
"SPINE, VARIOUS LESIONS --, DECOMPRESSION, SPINAL INSTRUMENTATION , MULTIPLE LEVELS >1 - WITH COMPUTE"
"HAND, CRUSH INJURIES (COMPLEX), WOUND DEBRIDEMENT (SB804H)"
"KNEE, ARTHROSCOPY, KNEE LIGAMENT RECONSTRUCTION (1 OR MORE)"
"ANKLE, VARIOUS LESIONS, PRIMARY TOTAL JOINT REPLACEMENT WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS"
"PITUITARY, VARIOUS LESIONS, TRANSPHENOIDAL TRANSSEPTAL OR ENDOSCOPIC"
"SKIN AND SUBCUTANEOUS TISSUE, DEFECT (MULTIPLE DIGITS), FREE FULL THICKNESS GRAFT"
"WRIST, SCAPHOID FRACTURE, ORIF WITH BONE GRAFTING"
"BOWELS, SINGLE/DOUBLE BALLOON ENTEROSCOPY - DIAGNOSTIC"
"ABDOMEN, RETROPERITONEUM, ABSCESS, DRAINAGE WITH/WITHOUT LAPAROTOMY"
"Vein, Varicosity, Bilateral Stripping/Excision/Multiple Ligations (SD804V)"
"VAGINA, CYSTOCOELE, PARAVAGINAL DEFECT REPAIR (ABDOMINAL) / BURCH COLPOSUSPENSION"
"ABDOMINAL CAVITY, MULTIPLE RUPTURES, MAJOR REPAIR/REMOVAL"
"LYMPHATICS (FACE & NECK), CYSTIC HYGROMA, EXCISION (SMALL)"
"LOWER LIMB, OPEN TENDON RELEASE (INCLUDING OPEN SOFT TISSUE RELEASES E.G. GASTROCNEMIUS RECESSION) ("
"MAZE PROCEDURE"
"NERVE-PERIPHERAL (DEEP), TUMOR, EXCISION"
"SKIN, VARIOUS LESIONS, INSERTION OF TISSUE EXPANDER (SINGLE)"
"JOINTS (OTHER THAN HAND AND WRIST), VARIOUS LESIONS, ARTHRODESIS (SB818J)"
"LUMBAR PLEXUS, BLOCK, CATHETER (SK701L)"
"VULVA, BARTHOLIN CYST, INCISION/MARSUPIALIZATION WITH OR WITHOUT USE OF LASER (SI823V)"
"LYMPH NODE (CERVICAL) - SUPERFICIAL, VARIOUS LESIONS, BIOPSY"
"BREAST, VARIOUS LESIONS, SUBCUTANEOUS MASTECTOMY UNILATERAL, EXCLUDING GYNAECOMASTIA (SA830B)"
"MANDIBLE, VARIOUS LESIONS, GENIOPLASTY (COMPLEX - NOT AS A COMBINED PROCEDURE)"
"MOUTH, MALIGNANT TUMOR, WIDE EXCISION AND MAJOR RECONSTRUCTION (SF816M)"
"NERVE (UPPER LIMB), CARPAL TUNNEL SYNDROME, RELEASE (UNILATERAL) (WITH ENDONEUROLYSIS)"
"UPPER LIMB, FRACTURE/DISLOCATION, MANIPULATION AND REDUCTION (SB802U)"
"ABDOMINAL WALL, INGUINAL HERNIA (INFANTS & CHILDREN), UNILATERAL HERNIOTOMY (SF818A)"
"SHOULDER, SHOULDER SOFT TISSUE INJURY, SHOULDER RECONSTRUCTION (EG, BRISTOW/LATARJET PROCEDURE )"
"ELBOW, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS"
"SKIN, SCAR, REVISION WITH Z-PLASTY"
"SKIN, BURNS (MORE THAN 5% TO 10%) EXCISION"
"NERVE (UPPER LIMB)-MAJOR, INJURY, MICROSURGICAL REPAIR (MULTIPLE)"
"KNEE, LIGAMENTS/MENISCUS/CARTILAGE/BONE COMBINED, ARTHROSCOPIC LIGAMENT RECONSTRUCTION WITH MENISCEC"
"Ovary, Tumor/Cyst, Radical Hysterectomy, with/without lymphadenectomy, open or laparoscopic or robot"
"VULVA, HEMATOMA, EVACUATION > 5CM (COMPLICATED/MORE THAN 1) (SI825V)"
"NOSE, FOREIGN BODY, REMOVAL (SM703N)"
"Skin and Subcutaneous Tissue, Defect, Single Stage Local Flap (Simple/Small) (SA829S)"
"DIGIT(S), SOFT TISSUE DEFECT, LARGE COMPLEX PEDICLED FLAPS"
"FEMUR, DELAYED/NON UNION, W/ RE-INTERNAL FIXATION AND BONE GRAFTING"
"BREAST, VARIOUS LESIONS, SUBCUTANEOUS MASTECTOMY BILATERAL, EXCLUDING GYNAECOMASTIA (SA828B)"
"Parotid, Tumor, Superficial Parotidectomy (SF814P)"
"MENINGES, MYELOMENINGOCELE, EXTENSIVE REPAIR WITH SKIN FLAPS/Z-PLASTY"
"NERVE (OROFACIAL), INJURY, DECOMPRESSION (MULTIPLE/SINGLE INTRAOSSEOUS) (SK709N)"
"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (20-40 SQ CM)"
"APPENDIX, ABSCESS, DRAINAGE ONLY"
"SPINE, VARIOUS LESIONS, DECOMPRESSION LAMINECTOMY"
"Liver, Various Lesions, Wedge/Local Excision (Open or Lap) (SF815L)"
"TRACHEA, TRACHEOSTOMY, REPLACEMENT"
"Urethra, Excision of urethral diverticulum (SG711U)"
"SKIN AND SUBCUTANEOUS TISSUE, HEMANGIOMA/LYMPHANGIOMA (LARGE), EXCISION"
"FOOT, ONE BONE OSTEOTOMY WITH SOFT TISSUE RELEASE, CUBOID (SB725F)"
"Soft Tissue (Upper Limb), Tumors (Benign), Major Excision Biopsy (SA721S)"
"BLADDER, CYSTOSCOPY, REMOVAL OF FOREIGN BODY/URETERIC STENT"
"TONGUE, TUMOR, TOTAL GLOSSECTOMY"
"VEIN, VARICOSE VEINS, IMAGING GUIDED ENDOVENOUS LASER TREATMENT, 1 LEG (SD713V)"
"Stomach, Tumour, Total Gastrectomy and Radical Lymphadenectomy (SF710S)"
"Skin and Subcutaneous Tissue, Defect, Free Grafts (Split Skin Graft 2 to less than 5%) (SA824S)"
"JOINTS (WRIST), VARIOUS LESIONS, ARTHRODESIS (SB835J)"
"SINUSES - NASAL, VARIOUS LESIONS, INTRANASAL OPERATION (SM715S)"
"ANUS, THROMBOSED EXTERNAL HEMORRHOID, INCISION AND DRAINAGE   (SF844A)"
"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS, INTERBODY FUSION (SINGLE SEGMENT) WITHOUT ANTERIO"
"ARTERY, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAM OF MULTIPLE VESSELS   (SD725A)"
"JOINTS (UPPER LIMB, SHOULDER), SEPTIC ARTHRITIS/EFFUSION, CURETTAGE/DEBRIDEMENT AND IRRIGATION (SB71"
"Ear, Various Lesions, Myringoplasty (Post-Aural/Endaural Approach) (SM829E)"
"LACRIMAL GLAND/DUCT, VARIOUS LESIONS, ENDOSCOPIC DACRYOCYSTORHINOSTOMY (DCR)"
"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (MULTIPLE)"
"HAND, FRACTURE OF FINGERS/METACARPALS, EXTERNAL FIXATION"
"ARTERY - LARGE, INJURY, REPAIR WITH GRAFTING (SD710A)"
"BILE DUCT, VARIOUS LESIONS. HEPATICOJEJUNOSTOMY UP TO BUT NOT INCLUDING THE CONFLUENCE OF THE HEPATI"
"MAXILLA, FRACTURE - LE FORT III, OPEN REDUCTION AND FIXATION USING CRANIOFACIAL APPROACH (SB837M)"
"TEETH (2 TO 3), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION (SF800T)"
"BLADDER, CYSTOSCOPY, WITH CONTROLLED HYDRODILATATION OF THE BLADDER"
"VEIN, VARIOUS LESIONS, INSERTION OF INFERIOR VENA CAVAL FILTER"
"WRIST, DISTAL RADIUS FRACTURE, ORIF, WITH ULNAR HEAD/STYLOID FIXATION/TFCC REPAIR"
"Pituitary, Various Lesions, Transphenoidal Transseptal or Endoscopic (SJ700P)"
"TENDON-FLEXOR (UPPER LIMB), INJURY, TENDON GRAFT"
"Head-Face, Soft Tissue Tumors (Small), Excision (SB822H)"
"BONE (SKULL), TUMOR (LARGE>3CM) EXCISION AND EXTENSIVE RECONSTRUCTION (DURA, SKULL, SKIN) (SB702B)"
"SPINE, PERCUTANEOUS DISC ABLATION, SINGLE LEVEL (EG IDET - INTRADISCAL ELECTROTHERMAL ANNULOPLASTY)"
"ESOPHAGUS/INTESTINE/STOMACH, UPPER GL ENDOSCOPY WITH INSERTION OF PROSTHESIS (SF807E)"
"SPINE, VERTEBROPLASTY OR KYPHOPLASTY (MULTIPLE LEVELS) (SB739S)"
"PAROTID, CALCULUS (SUPERFICIAL), REMOVAL (SF812P)"
"ABDOMINAL CAVITY, RECURRENT ABDOMINAL TUMOR, RESECTION WITH COMPLETE ABDOMINOPELVIC PERITONECTOMY AN"
"UTERUS, BENIGN CONDITIONS, SUB-TOTAL HYSTERECTOMY WITH/WITHOUT SALPINGO"
"VAGINA, INCARCERATED PESSARY, REMOVAL (SI807V)"
"SHOULDER FRACTURE/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (3 OR MORE PART FRACTURE)"
"LYMPH NODE (CERVICAL), VARIOUS LESIONS, BLOCK DISSECTION BILATERAL 3 OR LESS LEVELS"
"VAGINA, INTRA-EPITHELIAL NEOPLASIA VAGINECTOMY (PARTIAL)"
"NOSE, POLYPI (SIMPLE), NASOENDOSCOPY WITH EXCISION BIOPSY, 1 TO 2 (SM708N)"
"WRIST, DISTAL OR RADIAL ULNAR JOINT (DRUJ) INSTABILITY, COMPLEX LIGAMENT RECONSTRUCTION"
"FACE, INFECTION / OSTEOMYELITIS, SIMPLE DRAINAGE /SEQUESTRECTOMY (SB804F)"
"TIBIA, FRACTURE, OPEN REDUCTION AND INTERNAL FIXATION WITH PLATES AND SCREWS, SIMPLE (SB828T)"
"MUSCLE (UPPER LIMB), VARIOUS LESIONS, WIDE EXCISION"
"Vein, Thrombosis, Percutaneous Catheter Directed Thrombolysis, with or without Angioplasty / Stentin"
"SKIN AND SUBCUTANEOUS TISSUE, DEFECT, STAGED LOCAL FLAP(DIVISION)"
"BREAST, DROOPING, MASTOPEXY/REDUCTION (BILATERAL)"
"KIDNEY, VARIOUS LESIONS, RADICAL NEPHRECTOMY, LAPAROSCOPIC"
"FASCIA PALMAR, DUPUYTREN'S CONTRACTURE, FASCIECTOMY (MULTIPLE)"
"SKIN, VARIOUS LESIONS OF FACE (SINGLE), EXCISION BIOPSY"
"SKULL, INTRACRANIAL HEMORRHAGE, OSTEOPLASTIC CRANIOTOMY/EXTENSIVE CRANIECTOMY, BILATERAL (SK720S)"
"EYELIDS, VARIOUS LESIONS, BLEPHAROPLASTY (3 TO 4 EYELIDS) BILATERAL  (SL847E)"
"INTESTINE/STOMACH, UPPER GI ENDOSCOPY WITH / WITHOUT BIOPSY"
"HIP, ACETABULUM, FRACTURE, SINGLE COLUMN FIXATION (SB720H)"
"UTERUS, PREGNANCY AND MULTIPARITY, LOWER SEGMENT/CLASSICAL CAESAREAN SECTION AND TUBAL LIGATION"
"MAXILLA, FRACTURE  - LE FORT I, OPEN REDUCTION AND FIXATION (SB831M)"
"ANUS, HEMORRHOIDS, REMOVAL OF EXTERNAL ANAL TAGS"
"LACRIMAL GLAND/DUCT, VARIOUS LESIONS, DACROCYSTORHINOSTOMY (ENDOSCOPIC/NON-ENDOSCOPIC) OR CONJUNCTIV"
"HAND, FRACTURES/DISLOCATION, OPEN REDUCTION AND INTERNAL FIXATION (MULTIPLE) (SB814H)"
"ANUS, FISTULA-IN-ANO, EXCISION/ FISTULECTOMY (SF833A)"
"SPINE, REMOVAL, REVISION OF PORT E.G. PORT-A-CATH"
"FINGER, TRAUMA, TERMINALISATION (MULTIPLE) (SB823F)"
"BLADDER, VARIOUS LESIONS, TOTAL CYSTECTOMY WITH ILEAL CONDUIT (SG814B)"
"ANUS, FISTULA-IN-ANO, INSERTION OF SETON (SF720A)"
"BLOOD VESSELS, SAPHENOUS VEIN, HARVEST, MINIMALLY INVASIVE ENDOSCOPIC (SD711B)"
"JOINTS (UPPER LIMB), VASCULAR INJURY, MAJOR VASCULAR RECONSTRUCTION/ANASTOMOSIS/GRAFT (SB716J)"
"FOOT, VARIOUS LESIONS, MORE THAN ONE JOINT ARTHRODESIS (SB836F)"
"VEIN, VARICOSITY, SUB-FASCIAL LIGATION OF SINGLE DEEP PERFORATOR"
"SINUSES, TURBINOPLASTY, SUBMUCOSAL, ENDOSCOPIC"
"MUSCLE AND DEEP TISSUE, FOREIGN BODY, REMOVAL"
"BLOOD VESSELS, LOWER LIMB INTERVENTION, SUPERFICIAL FEMORAL ANGIOPLASTY"
"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION WITH NERVE TRANSPOSITION/ENDONEUROLY"
"JOINTS (TEMPORO-MANDIBULAR), VARIOUS LESIONS, PLICATION OF DISC (SB824J)"
"PHARYNX, ADHESIONS, DIVISION (SM700P)"
"COLON, COLOSTOMY, CLOSURE WITHOUT RESECTION OF BOWEL"
"UPPER LIMB/LOWER LIMB, UPPER LIMB FRACTURES, MINIMALLY INVASIVE FIXATION (SB704U)"
"TENDON (UPPER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE)"
"NOSE, LACERATION FULL THICKNESS, REPAIR >3CM"
"MUSCLE (LOWER LIMB), VARIOUS LESIONS, MARGINAL EXCISION (SB845M)"
"LUNG, VARIOUS LESIONS, WEDGE RESECTION"
"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (EXTRADURAL) (SK726S)"
"FALLOPIAN TUBE, BLOCKED TUBES, PLASTIC REPAIR (MICROSURGERY/LAPAROSCOPIC/ROBOTIC)"
"GALLBLADDER, VARIOUS LESIONS,  CHOLECYSTECTOMY, CHOLEDOCHOTOMY, COMMON BILE DUCT EXPLORATION WITH CH"
"BLADDER CATHERISATION (77501167)"
"HEART, PERICARDIAL EFFUSION, TRANSTHORACIC DRAINAGE (SD820H)"
"EYE, SQUINT, OPERATION (ONE/BOTH EYES - 3 MUSCLES OR MORE) (SL811E)"
"ANUS, FISTULA-IN-ANO (HIGH), FISTULECTOMY & COLOSTOMY, OR COMPLEX AND RECURRENT FISTULECTOMY"
"LUNG, PULMONARY ENDARTERECTOMY WITH CARDIOPULMONARY BYPASS (SC702P)"
"FINGER, VARIOUS LESIONS, SYNOVECTOMY WITH SOFT TISSUE RECONSTRUCTION (SB829F)"
"LYMPH NODE (CERVICAL), VARIOUS LESIONS, NECK DISSECTION UNILATERAL 4-5 LEVELS (SE706L)"
"MANDIBLE OR MAXILLA, VARIOUS LESIONS, VESTIBULOPLASTY, COMPLEX."
"LYMPHATICS, LYMPHEDEMA, THOMSON'S PROCEDURE"
"MOUTH, CLEFT LIP, SECONDARY CORRECTION OF NOSTRIL/NASAL TIP (SF807M)"
"SPINAL- IMPLANT OF ELECTRICAL PUMP DEVICE (SK729S)"
"MANDIBLE, VARIOUS LESIONS, SEGMENTAL OSTECTOMY/OSTEOTOMY (ONE SEGMENT ONLY) (SB821M)"
"CERVIX, VARIOUS LESIONS, PUNCH BIOPSY"
"NERVE (UPPER LIMB), ENTRAPMENT SYNDROME (OTHERS), DECOMPRESSION (BILATERAL) (SK721N)"
"NOSE, HEMATOMA/ABSCESS, EVACUATION/INCISION & DRAINAGE"
"VAGINA, ENTEROCOELE, CYSTOCOELE, RECTOCOELE, ABDOMINAL SACROCOLPOPEXY + PARAVAGINAL DEFECT REPAIR/BU"
"MUSCULOSKELETAL SYSTEM, VARIOUS LESIONS, STEINMAN PINS INSERTION"
"MAXILLA, VARIOUS LESIONS, OSTECTOMY/OSTEOTOMY (MORE THAN 1 SEGMENT) (SB840M)"
"CORONARY ARTERY BYPASS GRAFT WITH ERH (HD742HRH)"
"LYMPH NODE (CERVICAL), VARIOUS LESIONS, EXCISION BIOPSY (SE802L)"
"KNEE, MENISCUS/CARTILAGE, ARTHROSCOPIC MENISCAL REPAIR"
"SPINE, VARIOUS LESIONS, ARTIFICIAL DISC REPLACEMENT OF THE CERVICAL/LUMBAR SPINE, SINGLE LEVEL"
"ARTERY, VARIOUS LESIONS, FLUSH AORTOGRAM OR SINGLE VESSEL DIAGNOSTIC ANGIOGRAM (SD729A)"
"LOWER LIMB, VARIOUS LESIONS, AMPUTATION"
"Coronary Artery Bypass Graft And Valve Surgery with Endoscopic Vein Harvest"
"EAR (MIDDLE), COCHLEAR IMPLANT"
"BRONCHUS/LUNG, BRONCHOSCOPY, TARGETED TRANSBRONCHIAL LUNG BIOPSY FOR FOCAL LESIONS (IMAGING-GUIDED)"
"HEAD, VARIOUS LESIONS, CRANIOFACIAL RESECTION AND RECONSTRUCTION"
"BOWEL (ESOPHAGUS, STOMACH, DUODENUM, COLON, RECTUM), STRICTURE, IMAGING GUIDED STENT PLACEMENT"
"VAGINA, VARIOUS LESIONS, BIOPSY"
"JOINTS (FINGER), CONTRACTURE, CAPSULECTOMY/CAPSULOTOMY (SB800J)"
"SPINAL/EPIDURAL/SUBARACHNOIC, IMPLANT OF PORT EG PORT-A-CATH"
"SKIN AND SUBCUTANEOUS TISSUE, FOREIGN BODY (SUPERFICIAL), REMOVAL"
"UTERUS, PROLAPSE, CYSTOCOELE, RECTOCOELE, VAGINAL HYSTERECTOMY + ANTERIOR REPAIR + BILATERAL SALPING"
"Blood Vessels, Subcutaneous Implanted Vascular Port, removal (SD707B)"
